"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 16:27:30 MSK 2026","Thu Sep 24 16:27:30 MSK 2026","107","","api.tests.CreateUserTest","","api.tests.CreateUserTest","createUserWithoutEmail","Создание пользователя без обязательного поля Email","Если не заполнить email, должна вернуться ошибка 403"
"passed","Thu Sep 24 16:27:29 MSK 2026","Thu Sep 24 16:27:29 MSK 2026","489","","api.tests.CreateOrderTest","","api.tests.CreateOrderTest","createOrderWithoutIngredients","Создание заказа без ингредиентов","На запрос без ингредиентов должна вернуться ошибка 400"
"passed","Thu Sep 24 16:27:30 MSK 2026","Thu Sep 24 16:27:31 MSK 2026","354","","api.tests.LoginUserTest","","api.tests.LoginUserTest","loginExistingUser","Вход под существующим пользователем","Успешный вход с корректными почтой и паролем"
"passed","Thu Sep 24 16:27:30 MSK 2026","Thu Sep 24 16:27:30 MSK 2026","343","","api.tests.LoginUserTest","","api.tests.LoginUserTest","loginWithWrongPassword","Логин с неверным паролем","Вход с неправильным паролем должен вернуть ошибку 401"
"passed","Thu Sep 24 16:27:21 MSK 2026","Thu Sep 24 16:27:28 MSK 2026","6311","","api.tests.CreateOrderTest","","api.tests.CreateOrderTest","createOrderWithAuthAndIngredients","Создание заказа с авторизацией и ингредиентами","Успешное создание заказа с валидным токеном и ингредиентами"
"passed","Thu Sep 24 16:27:29 MSK 2026","Thu Sep 24 16:27:29 MSK 2026","96","","api.tests.CreateUserTest","","api.tests.CreateUserTest","createUserWithoutPassword","Создание пользователя без обязательного поля Password","Если не заполнить Password, должна вернуться ошибка 403"
"passed","Thu Sep 24 16:27:29 MSK 2026","Thu Sep 24 16:27:30 MSK 2026","287","","api.tests.CreateUserTest","","api.tests.CreateUserTest","createExistingUser","Создание уже зарегистрированного пользователя","Повторная регистрация с теми же данными должна вернуть ошибку 403"
"passed","Thu Sep 24 16:27:30 MSK 2026","Thu Sep 24 16:27:30 MSK 2026","98","","api.tests.CreateUserTest","","api.tests.CreateUserTest","createUserWithoutName","Создание пользователя без обязательного поля Name","Если не заполнить Name, должна вернуться ошибка 403"
"passed","Thu Sep 24 16:27:29 MSK 2026","Thu Sep 24 16:27:29 MSK 2026","196","","api.tests.CreateUserTest","","api.tests.CreateUserTest","createUniqueUser","Создание уникального пользователя","Проверяем, что нового пользователя можно создать с валидными данными"
"passed","Thu Sep 24 16:27:28 MSK 2026","Thu Sep 24 16:27:28 MSK 2026","560","","api.tests.CreateOrderTest","","api.tests.CreateOrderTest","createOrderWithInvalidIngredientHash","Создание заказа с неверным хешем ингредиентов","Невалидный ID ингредиента должен вернуть 500"
"failed","Thu Sep 24 16:27:28 MSK 2026","Thu Sep 24 16:27:29 MSK 2026","477","","api.tests.CreateOrderTest","","api.tests.CreateOrderTest","createOrderWithoutAuth","Создание заказа без авторизации","API фактически принимает заказ без токена и возвращает 200 OK"
